A0AQW4	TCP12_ARATH	AT1G68800
F4JKM2	F4JKM2_ARATH	AT4G34230
F4JKP2	F4JKP2_ARATH	AT4G34370
F4JKR3	F4JKR3_ARATH	AT4G09680
F4JKV2	F4JKV2_ARATH	AT4G09960
F4JKV6	F4JKV6_ARATH	AT4G09980
F4JKY6	F4JKY6_ARATH	AT4G15960
F4JL11	IMPA2_ARATH	AT4G16143
F4JL45	F4JL45_ARATH	AT4G22235
F4JL78	F4JL78_ARATH	AT4G28300
F4JLA9	F4JLA9_ARATH	AT4G28520
F4JLB7	F4JLB7_ARATH	AT4G28560
F4JLC1	F4JLC1_ARATH	AT4G28590
F4JLC8	F4JLC8_ARATH	AT4G28640
F4JLD1	F4JLD1_ARATH	AT4G34460
F4JLD2	F4JLD2_ARATH	AT4G34460
F4JLM5	SYIC_ARATH	AT4G10320
F4JLP0	F4JLP0_ARATH	AT4G10430
F4JLP5	PLPD2_ARATH	AT4G16155
F4JLR7	F4JLR7_ARATH	AT4G16280
F4JLS6	F4JLS6_ARATH	AT4G16360
F4JLY4	F4JLY4_ARATH	AT4G22690
F4JM55	F4JM55_ARATH	AT4G28990
F4JM82	F4JM82_ARATH	AT4G35080
F4JM84	F4JM84_ARATH	AT4G35080
F4JM86	F4JM86_ARATH	AT4G35090
F4JME0	F4JME0_ARATH	AT4G10610
F4JMG6	F4JMG6_ARATH	AT4G10840
F4JMI7	WTR34_ARATH	AT4G16620
F4JMK8	F4JMK8_ARATH	AT4G16760
F4JMM5	F4JMM5_ARATH	AT4G16845
F4JMN0	F4JMN0_ARATH	AT4G22830
F4JMS5	F4JMS5_ARATH	AT4G23100
F4JMT8	F4JMT8_ARATH	AT4G29020
F4JMU5	F4JMU5_ARATH	AT4G29060
F4JMZ7	F4JMZ7_ARATH	AT4G35300
F4JN13	F4JN13_ARATH	AT4G35450
F4JN17	F4JN17_ARATH	AT4G35450
F4JN22	F4JN22_ARATH	AT4G35500
F4JN33	F4JN33_ARATH	AT4G35580
F4JN35	NTL9_ARATH	AT4G35580
F4JN38	F4JN38_ARATH	AT4G35600
F4JN75	F4JN75_ARATH	AT4G10970
F4JN76	F4JN76_ARATH	AT4G10970
F4JNA9	RPP4_ARATH	AT4G16860
F4JNC9	F4JNC9_ARATH	AT4G17020
F4JND0	F4JND0_ARATH	AT4G17020
F4JNE2	F4JNE2_ARATH	AT4G17140
F4JNE3	F4JNE3_ARATH	AT4G17140
F4JNE4	F4JNE4_ARATH	AT4G17140
F4JNF7	F4JNF7_ARATH	AT4G17240
F4JNF8	F4JNF8_ARATH	AT4G17240
F4JNG1	F4JNG1_ARATH	AT4G17250
F4JNK0	F4JNK0_ARATH	AT4G23450
F4JNK5	F4JNK5_ARATH	AT4G23470
F4JNR4	F4JNR4_ARATH	AT4G29770
F4JNS8	F4JNS8_ARATH	AT4G35730
F4JNT9	F4JNT9_ARATH	AT4G35785
F4JNU1	F4JNU1_ARATH	AT4G35785
F4JNU2	F4JNU2_ARATH	AT4G35785
F4JNU3	F4JNU3_ARATH	AT4G35785
F4JNU6	F4JNU6_ARATH	AT4G35790
F4JNZ8	F4JNZ8_ARATH	AT4G11380
F4JP43	F4JP43_ARATH	AT4G17330
F4JP67	F4JP67_ARATH	AT4G17486
F4JP86	F4JP86_ARATH	AT4G17610
F4JP88	F4JP88_ARATH	AT4G17615
F4JP94	F4JP94_ARATH	AT4G17640
F4JP99	F4JP99_ARATH	AT4G23600
F4JPD8	F4JPD8_ARATH	AT4G23895
F4JPD9	F4JPD9_ARATH	AT4G23895
F4JPE5	F4JPE5_ARATH	AT4G23930
F4JPE8	F4JPE8_ARATH	AT4G23950
F4JPE9	F4JPE9_ARATH	AT4G23950
F4JPJ7	F4JPJ7_ARATH	AT4G30190
F4JPK5	F4JPK5_ARATH	AT4G30220
F4JPL0	F4JPL0_ARATH	AT4G36080
F4JPL1	F4JPL1_ARATH	AT4G36080
F4JPL2	F4JPL2_ARATH	AT4G36080
F4JPT1	F4JPT1_ARATH	AT4G11845
F4JPT7	F4JPT7_ARATH	AT4G11890
F4JPU9	F4JPU9_ARATH	AT4G11960
F4JPV9	F4JPV9_ARATH	AT4G12020
F4JPW1	BASS5_ARATH	AT4G12030
F4JPX3	F4JPX3_ARATH	AT4G17660
F4JPZ0	F4JPZ0_ARATH	AT4G17760
F4JQ55	F4JQ55_ARATH	AT4G24190
F4JQ95	DGK7_ARATH	AT4G30340
F4JQC2	F4JQC2_ARATH	AT4G30560
F4JQF1	F4JQF1_ARATH	AT4G36600
F4JQG2	F4JQG2_ARATH	AT4G36690
F4JQH3	F4JQH3_ARATH	AT4G36760
F4JQW5	F4JQW5_ARATH	AT4G24400
F4JQY4	F4JQY4_ARATH	AT4G24520
F4JR16	F4JR16_ARATH	AT4G24740
F4JR75	F4JR75_ARATH	AT4G36980
F4JR77	F4JR77_ARATH	AT4G36980
F4JR78	F4JR78_ARATH	AT4G36980
F4JRB0	F4JRB0_ARATH	AT4G37180
F4JRE0	TMN12_ARATH	AT4G12650
F4JRE7	F4JRE7_ARATH	AT4G12720
F4JRG0	F4JRG0_ARATH	AT4G12780
F4JRJ9	F4JRJ9_ARATH	AT4G18490
F4JRM5	F4JRM5_ARATH	AT4G18710
F4JRN0	F4JRN0_ARATH	AT4G18740
F4JRN1	F4JRN1_ARATH	AT4G18740
F4JRR1	F4JRR1_ARATH	AT4G24840
F4JRR5	TTL_ARATH	AT4G24900
F4JRS2	F4JRS2_ARATH	AT4G24960
F4JRV2	F4JRV2_ARATH	AT4G25100
F4JRW3	F4JRW3_ARATH	AT4G31170
F4JRX3	F4JRX3_ARATH	AT4G31210
F4JRY2	F4JRY2_ARATH	AT4G31300
F4JRY9	F4JRY9_ARATH	AT4G31340
F4JS23	F4JS23_ARATH	AT4G37445
F4JS25	SRFR1_ARATH	AT4G37460
F4JS33	F4JS33_ARATH	AT4G37520
F4JS39	F4JS39_ARATH	AT4G37550
F4JS69	F4JS69_ARATH	AT4G13020
F4JS72	F4JS72_ARATH	AT4G13020
F4JS76	F4JS76_ARATH	AT4G13040
F4JSA6	F4JSA6_ARATH	AT4G13250
F4JSC8	F4JSC8_ARATH	AT4G18960
F4JSF8	F4JSF8_ARATH	AT4G19110
F4JSF9	F4JSF9_ARATH	AT4G19110
F4JSK0	F4JSK0_ARATH	AT4G25315
F4JSK5	F4JSK5_ARATH	AT4G25340
F4JSP7	F4JSP7_ARATH	AT4G31570
F4JSQ2	F4JSQ2_ARATH	AT4G31600
F4JSS8	F4JSS8_ARATH	AT4G31800
F4JSV2	F4JSV2_ARATH	AT4G37890
F4JSV3	F4JSV3_ARATH	AT4G37890
F4JT04	F4JT04_ARATH	AT4G13345
F4JT76	VPS54_ARATH	AT4G19490
F4JT80	F4JT80_ARATH	AT4G19510
F4JT81	F4JT81_ARATH	AT4G19510
F4JTC8	F4JTC8_ARATH	AT4G25710
F4JTD2	F4JTD2_ARATH	AT4G25730
F4JTD3	F4JTD3_ARATH	AT4G25740
F4JTH0	F4JTH0_ARATH	AT4G31990
F4JTH1	F4JTH1_ARATH	AT4G32000
F4JTH2	F4JTH2_ARATH	AT4G32000
F4JTJ6	F4JTJ6_ARATH	AT4G32180
F4JTK8	F4JTK8_ARATH	AT4G38220
F4JTL3	F4JTL3_ARATH	AT4G38230
F4JTL6	F4JTL6_ARATH	AT4G38240
F4JTM2	F4JTM2_ARATH	AT4G38270
F4JTQ0	F4JTQ0_ARATH	AT4G38510
F4JTR5	F4JTR5_ARATH	AT4G13640
F4JTS3	F4JTS3_ARATH	AT4G13710
F4JTT4	F4JTT4_ARATH	AT4G13810
F4JTU2	F4JTU2_ARATH	AT4G13850
F4JTV4	F4JTV4_ARATH	AT4G13940
F4JTV5	F4JTV5_ARATH	AT4G13940
F4JTZ6	F4JTZ6_ARATH	AT4G19850
F4JU14	F4JU14_ARATH	AT4G19960
F4JUC2	F4JUC2_ARATH	AT4G32470
F4JUD2	F4JUD2_ARATH	AT4G32551
F4JUD9	F4JUD9_ARATH	AT4G32590
F4JUE0	F4JUE0_ARATH	AT4G32590
F4JUG5	F4JUG5_ARATH	AT4G38780
F4JUJ1	F4JUJ1_ARATH	AT4G38960
F4JUJ5	F4JUJ5_ARATH	AT4G38970
F4JUK8	F4JUK8_ARATH	AT4G14103
F4JUL8	F4JUL8_ARATH	AT4G14147
F4JUL9	ARPC4_ARATH	AT4G14147
F4JUM1	F4JUM1_ARATH	AT4G14160
F4JUM3	F4JUM3_ARATH	AT4G14160
F4JUQ1	F4JUQ1_ARATH	AT4G14310
F4JUQ2	F4JUQ2_ARATH	AT4G14310
F4JUT8	F4JUT8_ARATH	AT4G20260
F4JUT9	F4JUT9_ARATH	AT4G20260
F4JUU4	F4JUU4_ARATH	AT4G20300
F4JUW0	F4JUW0_ARATH	AT4G20380
F4JUX3	F4JUX3_ARATH	AT4G26310
F4JV23	F4JV23_ARATH	AT4G32590
F4JV27	F4JV27_ARATH	AT4G32620
F4JV28	F4JV28_ARATH	AT4G32620
F4JV33	F4JV33_ARATH	AT4G32650
F4JV35	F4JV35_ARATH	AT4G32650
F4JV37	F4JV37_ARATH	AT4G32660
F4JV38	F4JV38_ARATH	AT4G32660
F4JV51	F4JV51_ARATH	AT4G32760
F4JV54	F4JV54_ARATH	AT4G32780
F4JV77	F4JV77_ARATH	AT4G32900
F4JV78	F4JV78_ARATH	AT4G32900
F4JV93	F4JV93_ARATH	AT4G39100
F4JVB8	RADL1_ARATH	AT4G39250
F4JVB9	F4JVB9_ARATH	AT4G39260
F4JVC0	F4JVC0_ARATH	AT4G39260
F4JVC1	F4JVC1_ARATH	AT4G39260
F4JVC4	F4JVC4_ARATH	AT4G39270
F4JVC5	F4JVC5_ARATH	AT4G39280
F4JVD6	F4JVD6_ARATH	AT4G39370
F4JVE9	F4JVE9_ARATH	AT4G14370
F4JVF3	F4JVF3_ARATH	AT4G14385
F4JVJ1	CLPB2_ARATH	AT4G14670
F4JVN6	TPPII_ARATH	AT4G20850
F4JVU5	F4JVU5_ARATH	AT4G27010
F4JVU6	F4JVU6_ARATH	AT4G27010
F4JVZ4	F4JVZ4_ARATH	AT4G33200
F4JVZ5	F4JVZ5_ARATH	AT4G33200
F4JW56	F4JW56_ARATH	AT4G39710
F4JW69	F4JW69_ARATH	AT5G04230
F4JW79	RDM3_ARATH	AT5G04290
F4JWA1	F4JWA1_ARATH	AT5G04460
F4JWA3	F4JWA3_ARATH	AT5G04460
F4JWB0	F4JWB0_ARATH	AT5G04510
F4JWD6	F4JWD6_ARATH	AT5G11030
F4JWF3	F4JWF3_ARATH	AT5G11170
F4JWF6	F4JWF6_ARATH	AT5G11200
F4JWF7	F4JWF7_ARATH	AT5G11200
F4JWK0	F4JWK0_ARATH	AT5G18240
F4JWM1	F4JWM1_ARATH	AT5G18380
F4JWN4	F4JWN4_ARATH	AT5G18420
F4JWP8	F4JWP8_ARATH	AT5G25220
F4JWP9	F4JWP9_ARATH	AT5G25230
F4JWQ4	F4JWQ4_ARATH	AT5G25270
F4JWS8	QCR72_ARATH	AT5G25450
F4JWS9	F4JWS9_ARATH	AT5G25450
F4JWT6	F4JWT6_ARATH	AT5G25475
F4JWT7	F4JWT7_ARATH	AT5G25480
F4JWV5	F4JWV5_ARATH	AT5G34940
F4JWV6	F4JWV6_ARATH	AT5G34940
F4JX83	F4JX83_ARATH	AT5G53490
F4JXC2	F4JXC2_ARATH	AT5G53800
F4JXD5	F4JXD5_ARATH	AT5G59880
F4JXE3	F4JXE3_ARATH	AT5G59950
F4JXE5	F4JXE5_ARATH	AT5G59950
F4JXE7	F4JXE7_ARATH	AT5G59950
F4JXF0	F4JXF0_ARATH	AT5G59980
F4JXF1	F4JXF1_ARATH	AT5G59980
F4JXG7	F4JXG7_ARATH	AT5G60100
F4JXG9	F4JXG9_ARATH	AT5G60120
F4JXI3	F4JXI3_ARATH	AT5G65670
F4JXK3	F4JXK3_ARATH	AT5G65780
F4JXM5	F4JXM5_ARATH	AT5G65930
F4JXP5	F4JXP5_ARATH	AT5G04740
F4JXP8	F4JXP8_ARATH	AT5G04750
F4JXR3	F4JXR3_ARATH	AT5G04850
F4JXV9	F4JXV9_ARATH	AT5G11490
F4JXW2	F4JXW2_ARATH	AT5G11500
F4JXY5	F4JXY5_ARATH	AT5G11700
F4JXY6	F4JXY6_ARATH	AT5G11700
F4JY24	CHR17_ARATH	AT5G18620
F4JY25	F4JY25_ARATH	AT5G18620
F4JY37	RUK_ARATH	AT5G18700
F4JY62	F4JY62_ARATH	AT5G25570
F4JY76	F4JY76_ARATH	AT5G25754,AT5G25757
F4JYC8	PTM_ARATH	AT5G35210
F4JYE0	F4JYE0_ARATH	AT5G35360
F4JYE1	F4JYE1_ARATH	AT5G35360
F4JYG0	PIAL2_ARATH	AT5G41580
F4JYL8	F4JYL8_ARATH	AT5G47690
F4JYM8	F4JYM8_ARATH	AT5G47720
F4JYX9	F4JYX9_ARATH	AT5G60360
F4JZ17	F4JZ17_ARATH	AT5G66040
F4JZ38	F4JZ38_ARATH	AT5G66160
F4JZ42	F4JZ42_ARATH	AT5G66180
F4JZ43	F4JZ43_ARATH	AT5G66180
F4JZ44	F4JZ44_ARATH	AT5G66180
F4JZ46	F4JZ46_ARATH	AT5G66190
F4JZ57	F4JZ57_ARATH	AT5G66240
F4JZ59	F4JZ59_ARATH	AT5G66250
F4JZD5	F4JZD5_ARATH	AT5G11870
F4JZI4	F4JZI4_ARATH	AT5G18830
F4JZM3	F4JZM3_ARATH	AT5G19130
F4JZM4	F4JZM4_ARATH	AT5G19130
F4JZM6	F4JZM6_ARATH	AT5G19140
F4JZS7	F4JZS7_ARATH	AT5G26320
F4JZX8	F4JZX8_ARATH	AT5G41770
F4JZY1	F4JZY1_ARATH	AT5G41790
F4K005	F4K005_ARATH	AT5G42000
F4K007	F4K007_ARATH	AT5G42020
F4K015	F4K015_ARATH	AT5G42080
F4K087	F4K087_ARATH	AT5G48240
F4K0C4	TR130_ARATH	AT5G54440
F4K0E2	F4K0E2_ARATH	AT5G60580
F4K0E6	F4K0E6_ARATH	AT5G60590
F4K0E8	ISPG_ARATH	AT5G60600
F4K0F5	F4K0F5_ARATH	AT5G60640
F4K0F7	F4K0F7_ARATH	AT5G60640
F4K0H9	F4K0H9_ARATH	AT5G60830
F4K0J3	KN4C_ARATH	AT5G60930
F4K0R2	F4K0R2_ARATH	AT5G05580
F4K0T0	F4K0T0_ARATH	AT5G05690
F4K0T5	F4K0T5_ARATH	AT5G05730
F4K0U3	F4K0U3_ARATH	AT5G05780
F4K0X7	F4K0X7_ARATH	AT5G12370
F4K0Z2	F4K0Z2_ARATH	AT5G12480
F4K106	F4K106_ARATH	AT5G12920
F4K107	F4K107_ARATH	AT5G12920
F4K108	F4K108_ARATH	AT5G12920
F4K124	F4K124_ARATH	AT5G19280
F4K128	CHR23_ARATH	AT5G19310
F4K132	F4K132_ARATH	AT5G19330
F4K151	F4K151_ARATH	AT5G19430
F4K180	F4K180_ARATH	AT5G26742
F4K1B1	RPAP2_ARATH	AT5G26760
F4K1D2	F4K1D2_ARATH	AT5G26880
F4K1D3	F4K1D3_ARATH	AT5G35680
F4K1J1	F4K1J1_ARATH	AT5G42370
F4K1J4	ATXR7_ARATH	AT5G42400
F4K1R2	F4K1R2_ARATH	AT5G48545
F4K1S8	F4K1S8_ARATH	AT5G54600
F4K1U5	F4K1U5_ARATH	AT5G54750
F4K1W7	F4K1W7_ARATH	AT5G54920
F4K1X9	F4K1X9_ARATH	AT5G55000
F4K1Y4	F4K1Y4_ARATH	AT5G60980
F4K1Z5	F4K1Z5_ARATH	AT5G61060
F4K203	F4K203_ARATH	AT5G61140
F4K204	F4K204_ARATH	AT5G61150
F4K210	F4K210_ARATH	AT5G61200
F4K217	F4K217_ARATH	AT5G61240
F4K264	F4K264_ARATH	AT5G66930
F4K265	AT101_ARATH	AT5G66930
F4K280	F4K280_ARATH	AT5G67050
F4K2C1	F4K2C1_ARATH	AT5G06120
F4K2C2	F4K2C2_ARATH	AT5G06120
F4K2C3	F4K2C3_ARATH	AT5G06120
F4K2C6	F4K2C6_ARATH	AT5G06130
F4K2G3	MORC5_ARATH	AT5G13130
F4K2L8	F4K2L8_ARATH	AT5G19750
F4K2P4	F4K2P4_ARATH	AT5G19950
F4K2T3	F4K2T3_ARATH	AT5G27030
F4K2U3	F4K2U3_ARATH	AT5G27130
F4K2U8	F4K2U8_ARATH	AT5G27210
F4K352	F4K352_ARATH	AT5G42900
F4K359	F4K359_ARATH	AT5G48630
F4K388	F4K388_ARATH	AT5G48820
F4K3D6	F4K3D6_ARATH	AT5G55160
F4K3D8	F4K3D8_ARATH	AT5G55180
F4K3F4	F4K3F4_ARATH	AT5G55300
F4K3F5	F4K3F5_ARATH	AT5G55300
F4K3G5	EDM2_ARATH	AT5G55390
F4K3I6	F4K3I6_ARATH	AT5G61520
F4K3I7	F4K3I7_ARATH	AT5G61530
F4K3J7	F4K3J7_ARATH	AT5G61570
F4K3M1	F4K3M1_ARATH	AT5G61770
F4K3R8	F4K3R8_ARATH	AT5G67500
F4K3V7	F4K3V7_ARATH	AT5G06510
F4K3X1	F4K3X1_ARATH	AT5G06600
F4K3Y1	F4K3Y1_ARATH	AT5G06690
F4K3Y7	F4K3Y7_ARATH	AT5G13480
F4K3Z6	F4K3Z6_ARATH	AT5G13530
F4K409	F4K409_ARATH	AT5G13650
F4K410	F4K410_ARATH	AT5G13650
F4K452	F4K452_ARATH	AT5G20140
F4K455	F4K455_ARATH	AT5G20160
F4K456	F4K456_ARATH	AT5G20160
F4K470	F4K470_ARATH	AT5G20250
F4K482	F4K482_ARATH	AT5G20320
F4K493	CLSY2_ARATH	AT5G20420
F4K498	F4K498_ARATH	AT5G27330
F4K4B8	F4K4B8_ARATH	AT5G27490
F4K4D5	F4K4D5_ARATH	AT5G27640
F4K4D6	F4K4D6_ARATH	AT5G27650
F4K4J0	THO5B_ARATH	AT5G42920
F4K4L7	TAF4B_ARATH	AT5G43130
F4K4Q2	F4K4Q2_ARATH	AT5G49030
F4K4Y5	F4K4Y5_ARATH	AT5G55660
F4K4Z1	F4K4Z1_ARATH	AT5G55700
F4K536	F4K536_ARATH	AT5G62000
F4K556	F4K556_ARATH	AT5G62130
F4K567	F4K567_ARATH	AT5G67610
F4K587	F4K587_ARATH	AT5G06800
F4K593	F4K593_ARATH	AT5G06839
F4K5B9	F4K5B9_ARATH	AT5G07030
F4K5C7	F4K5C7_ARATH	AT5G07090
F4K5E0	F4K5E0_ARATH	AT5G13950
F4K5E2	F4K5E2_ARATH	AT5G13950
F4K5H6	F4K5H6_ARATH	AT5G14200
F4K5I3	F4K5I3_ARATH	AT5G14250
F4K5J1	MYO17_ARATH	AT5G20490
F4K5J2	F4K5J2_ARATH	AT5G20490
F4K5K0	F4K5K0_ARATH	AT5G20570
F4K5K1	F4K5K1_ARATH	AT5G20570
F4K5M5	F4K5M5_ARATH	AT5G20730
F4K5Q4	F4K5Q4_ARATH	AT5G27860
F4K5Q9	F4K5Q9_ARATH	AT5G27890
F4K5S0	F4K5S0_ARATH	AT5G27970
F4K5S1	F4K5S1_ARATH	AT5G27970
F4K5T1	F4K5T1_ARATH	AT5G28020
F4K5T6	F4K5T6_ARATH	AT5G28050
F4K5X6	RVE2_ARATH	AT5G37260
F4K657	BL1S2_ARATH	AT5G49550
F4K670	F4K670_ARATH	AT5G49650
F4K678	F4K678_ARATH	AT5G49710
F4K687	NMNAT_ARATH	AT5G55810
F4K688	F4K688_ARATH	AT5G55810
F4K6B6	F4K6B6_ARATH	AT5G56030
F4K6B8	F4K6B8_ARATH	AT5G56040
F4K6D3	SFH14_ARATH	AT5G56160
F4K6E5	F4K6E5_ARATH	AT5G62165
F4K6F1	GT18_ARATH	AT5G62220
F4K6F3	F4K6F3_ARATH	AT5G62230
F4K6F8	F4K6F8_ARATH	AT5G62270
F4K6M8	F4K6M8_ARATH	AT5G07340
F4K6T0	F4K6T0_ARATH	AT5G14430
F4K6W6	F4K6W6_ARATH	AT5G20920
F4K6X0	F4K6X0_ARATH	AT5G20935
F4K703	F4K703_ARATH	AT5G21160
F4K704	F4K704_ARATH	AT5G21160
F4K7C4	F4K7C4_ARATH	AT5G43900
F4K7C5	F4K7C5_ARATH	AT5G43900
F4K7D6	F4K7D6_ARATH	AT5G43940
F4K7E0	F4K7E0_ARATH	AT5G43960
F4K7E3	F4K7E3_ARATH	AT5G43990
F4K7E7	F4K7E7_ARATH	AT5G43990
F4K7F4	F4K7F4_ARATH	AT5G49830
F4K7F5	F4K7F5_ARATH	AT5G49830
F4K7I8	F4K7I8_ARATH	AT5G50090
F4K7J4	F4K7J4_ARATH	AT5G50130
F4K7W4	F4K7W4_ARATH	AT5G01010
F4K7W6	F4K7W6_ARATH	AT5G01010
F4K7Z8	F4K7Z8_ARATH	AT5G01240
F4K817	F4K817_ARATH	AT5G07510
F4K873	F4K873_ARATH	AT5G14740
F4K875	F4K875_ARATH	AT5G14740
F4K884	F4K884_ARATH	AT5G14800
F4K895	F4K895_ARATH	AT5G14920
F4K8B0	F4K8B0_ARATH	AT5G15020
F4K8C4	F4K8C4_ARATH	AT5G21920
F4K8F7	F4K8F7_ARATH	AT5G22130
F4K8H6	F4K8H6_ARATH	AT5G22280
F4K8L6	F4K8L6_ARATH	AT5G37740
F4K8L9	F4K8L9_ARATH	AT5G37760
F4K8M2	F4K8M2_ARATH	AT5G37780
F4K8M3	F4K8M3_ARATH	AT5G37780
F4K8N1	F4K8N1_ARATH	AT5G37850
F4K8R9	F4K8R9_ARATH	AT5G44110
F4K8S2	F4K8S2_ARATH	AT5G44120
F4K8S9	F4K8S9_ARATH	AT5G44180
F4K8T6	F4K8T6_ARATH	AT5G44240
F4K8U4	F4K8U4_ARATH	AT5G44280
F4K8Y4	F4K8Y4_ARATH	AT5G50375
F4K933	ET2_ARATH	AT5G56780
F4K946	F4K946_ARATH	AT5G56890
F4K956	F4K956_ARATH	AT5G56980
F4K964	F4K964_ARATH	AT5G57035
F4K973	F4K973_ARATH	AT5G63050
F4K9F4	F4K9F4_ARATH	AT5G01570
F4K9K2	F4K9K2_ARATH	AT5G08080
F4K9K4	F4K9K4_ARATH	AT5G08080
F4K9L2	F4K9L2_ARATH	AT5G08130
F4K9L3	F4K9L3_ARATH	AT5G08130
F4K9L4	F4K9L4_ARATH	AT5G08130
F4K9L9	F4K9L9_ARATH	AT5G08160
F4K9M4	F4K9M4_ARATH	AT5G08185
F4K9Q4	F4K9Q4_ARATH	AT5G15240
F4K9U7	F4K9U7_ARATH	AT5G22340
F4K9W2	F4K9W2_ARATH	AT5G22450
F4K9Y6	F4K9Y6_ARATH	AT5G22620
F4K9Z1	F4K9Z1_ARATH	AT5G22640
F4KA18	F4KA18_ARATH	AT5G28823
F4KA49	F4KA49_ARATH	AT5G38220
F4KA71	F4KA71_ARATH	AT5G38380
F4KA76	F4KA76_ARATH	AT5G38410
F4KAB8	MCM6_ARATH	AT5G44635
F4KAG0	F4KAG0_ARATH	AT5G50840
F4KAG5	F4KAG5_ARATH	AT5G50870
F4KAJ4	F4KAJ4_ARATH	AT5G57150
F4KAJ5	F4KAJ5_ARATH	AT5G57150
F4KAK0	F4KAK0_ARATH	AT5G57170
F4KAK2	F4KAK2_ARATH	AT5G57180
F4KAK3	F4KAK3_ARATH	AT5G57180
F4KAN2	F4KAN2_ARATH	AT5G57360
F4KAP9	F4KAP9_ARATH	AT5G63460
F4KAQ0	F4KAQ0_ARATH	AT5G63460
F4KAQ2	F4KAQ2_ARATH	AT5G63460
F4KAQ8	F4KAQ8_ARATH	AT5G63510
F4KAS3	F4KAS3_ARATH	AT5G63600
F4KAS6	F4KAS6_ARATH	AT5G63620
F4KAV7	F4KAV7_ARATH	AT5G01810
F4KAZ8	F4KAZ8_ARATH	AT5G02150
F4KB54	F4KB54_ARATH	AT5G08630
F4KB59	F4KB59_ARATH	AT5G15550
F4KB73	F4KB73_ARATH	AT5G15680
F4KB75	F4KB75_ARATH	AT5G15700
F4KB90	F4KB90_ARATH	AT5G15800
F4KBJ3	F4KBJ3_ARATH	AT5G38520
F4KBK9	F4KBK9_ARATH	AT5G38660
F4KBP5	CHR4_ARATH	AT5G44800
F4KBQ6	F4KBQ6_ARATH	AT5G44920
F4KBS5	F4KBS5_ARATH	AT5G45050
F4KBT8	F4KBT8_ARATH	AT5G51040
F4KBV0	F4KBV0_ARATH	AT5G51110
F4KBV2	F4KBV2_ARATH	AT5G51120
F4KBV3	F4KBV3_ARATH	AT5G51120
F4KBW6	NU205_ARATH	AT5G51200
F4KC24	F4KC24_ARATH	AT5G57655
F4KC57	F4KC57_ARATH	AT5G63880
F4KC69	F4KC69_ARATH	AT5G63960
F4KC80	F4KC80_ARATH	AT5G64040
F4KCA4	F4KCA4_ARATH	AT5G02170
F4KCB8	F4KCB8_ARATH	AT5G02270
F4KCE5	F4KCE5_ARATH	AT5G02500
F4KCI3	F4KCI3_ARATH	AT5G09230
F4KCI5	F4KCI5_ARATH	AT5G09230
F4KCI8	F4KCI8_ARATH	AT5G09240
F4KCI9	F4KCI9_ARATH	AT5G09240
F4KCL4	F4KCL4_ARATH	AT5G09410
F4KCL7	OE64M_ARATH	AT5G09420
F4KCU5	F4KCU5_ARATH	AT5G23260
F4KCX5	F4KCX5_ARATH	AT5G23490
F4KCY6	F4KCY6_ARATH	AT5G38895
F4KCY7	F4KCY7_ARATH	AT5G38895
F4KD92	F4KD92_ARATH	AT5G51450
F4KDA6	LPA2_ARATH	AT5G51545
F4KDH9	FIPS5_ARATH	AT5G58040
F4KDI1	F4KDI1_ARATH	AT5G58060
F4KDJ3	F4KDJ3_ARATH	AT5G58140
F4KDM3	F4KDM3_ARATH	AT5G64360
F4KDM9	F4KDM9_ARATH	AT5G64390
F4KDN0	F4KDN0_ARATH	AT5G64390
F4KDN1	F4KDN1_ARATH	AT5G64390
F4KDQ6	F4KDQ6_ARATH	AT5G64520
F4KDR2	F4KDR2_ARATH	AT5G02610
F4KDU5	F4KDU5_ARATH	AT5G02870
F4KDZ4	F4KDZ4_ARATH	AT5G09660
F4KE21	F4KE21_ARATH	AT5G16390
F4KE96	F4KE96_ARATH	AT5G23720
F4KEA0	F4KEA0_ARATH	AT5G23750
F4KED5	F4KED5_ARATH	AT5G32440
F4KEH2	F4KEH2_ARATH	AT5G39580
F4KEK8	F4KEK8_ARATH	AT5G45620
F4KEP6	F4KEP6_ARATH	AT5G51870
F4KEP8	F4KEP8_ARATH	AT5G51870
F4KEU1	F4KEU1_ARATH	AT5G52200
F4KEU4	F4KEU4_ARATH	AT5G52220
F4KEU5	F4KEU5_ARATH	AT5G52220
F4KEV7	F4KEV7_ARATH	AT5G58240
F4KF03	F4KF03_ARATH	AT5G58550
F4KF33	F4KF33_ARATH	AT5G64710
F4KF39	F4KF39_ARATH	AT5G64760
F4KF65	IMPA9_ARATH	AT5G03070
F4KF77	F4KF77_ARATH	AT5G03180
F4KFA3	F4KFA3_ARATH	AT5G03360
F4KFC4	F4KFC4_ARATH	AT5G09820
F4KFC9	F4KFC9_ARATH	AT5G09860
F4KFD7	F4KFD7_ARATH	AT5G09900
F4KFE9	F4KFE9_ARATH	AT5G09995
F4KFF0	F4KFF0_ARATH	AT5G09995
F4KFJ2	F4KFJ2_ARATH	AT5G16880
F4KFK3	F4KFK3_ARATH	AT5G16980
F4KFK7	F4KFK7_ARATH	AT5G17010
F4KFK8	F4KFK8_ARATH	AT5G17010
F4KFS7	MEB2_ARATH	AT5G24290
F4KG18	F4KG18_ARATH	AT5G46110
F4KG20	F4KG20_ARATH	AT5G46110
F4KG21	F4KG21_ARATH	AT5G46110
F4KG44	F4KG44_ARATH	AT5G52240
